Index,Gates,Gates (%),Area,Area (%),Delay,Delay (%)
1546,    838, 16.9,      982.34, 83.1,  3575.71, 18.5
1547,    810, 17.2,      975.11, 82.8,  3555.79, 19.4
1548,    811, 17.6,      980.71, 82.4,  3619.42, 19.2
1549,    989, 19.0,     1097.35, 81.0,  3294.17, 25.5
1550,    793, 16.0,      976.04, 84.0,  3526.57, 19.3
1551,    906, 18.5,     1049.06, 81.5,  3346.87, 21.6
1552,    977, 20.9,     1102.25, 79.1,  3311.61, 15.8
1553,    805, 15.5,      972.08, 84.5,  3596.89, 20.6
1554,    852, 16.5,      997.27, 83.5,  3542.57, 18.9
1555,    802, 17.7,      972.78, 82.3,  3501.60, 21.2
1556,    847, 15.1,     1006.84, 84.9,  3578.58, 20.9
1557,    777, 15.1,      950.38, 84.9,  3642.46, 19.6
1558,    824, 16.3,      981.18, 83.7,  3575.75, 20.1
1559,    780, 12.2,      945.02, 87.8,  3621.39, 20.3
1560,    810, 15.9,      976.74, 84.1,  3551.68, 20.7
1561,   1028, 21.7,     1127.44, 78.3,  3157.06, 23.3
1562,    763, 13.0,      941.05, 87.0,  3769.95, 22.3
1563,    822, 14.6,      994.47, 85.4,  3519.80, 21.5
1564,    886, 17.7,     1036.46, 82.3,  3331.53, 22.8
1565,    993, 20.2,     1117.88, 79.8,  3335.76, 15.8
1566,    787, 13.3,      966.48, 86.7,  3462.59, 18.7
1567,    921, 17.6,     1056.99, 82.4,  3472.11, 24.4
1568,    774, 14.9,      948.28, 85.1,  3703.93, 20.5
1569,    836, 16.6,      984.91, 83.4,  3602.00, 19.7
1570,    936, 16.8,     1081.02, 83.2,  3404.47, 16.7
1571,    854, 15.9,      984.67, 84.1,  3534.64, 19.8
1572,    883, 17.1,     1015.00, 82.9,  3558.98, 20.2
1573,    825, 14.3,      971.14, 85.7,  3765.72, 20.4
1574,    845, 17.2,      977.21, 82.8,  3674.93, 19.9
1575,    776, 15.3,      950.62, 84.7,  3704.80, 20.5
1576,    861, 16.3,     1002.40, 83.7,  3543.47, 20.9
1577,   1082, 21.2,     1171.07, 78.8,  2975.94, 13.7
1578,    985, 19.2,     1113.91, 80.8,  3204.57, 25.4
1579,    788, 14.6,      959.71, 85.4,  3612.00, 20.6
1580,    804, 14.1,      956.21, 85.9,  3533.00, 19.3
1581,    841, 17.2,      995.87, 82.8,  3647.46, 20.8
1582,    970, 19.8,     1111.58, 80.2,  3084.69, 25.9
1583,    947, 20.2,     1086.85, 79.8,  3344.26, 16.4
1584,    797, 15.3,      956.21, 84.7,  3741.05, 20.5
1585,    811, 14.1,      960.65, 85.9,  3516.70, 18.5
1586,    804, 15.3,      975.34, 84.7,  3583.03, 20.0
1587,    969, 18.9,     1080.55, 81.1,  3337.66, 23.3
1588,    771, 14.5,      950.15, 85.5,  3626.13, 20.1
1589,    864, 17.1,     1005.90, 82.9,  3503.43, 18.1
1590,    789, 12.4,      966.95, 87.6,  3535.97, 19.9
1591,    841, 18.4,      983.51, 81.6,  3517.07, 18.1
1592,   1044, 20.5,     1163.60, 79.5,  3026.21, 14.7
1593,    881, 16.3,     1026.90, 83.7,  3462.03, 23.7
1594,    776, 15.5,      942.22, 84.5,  3747.25, 20.7
1595,    771, 13.7,      954.35, 86.3,  3636.69, 20.8
1596,   1007, 19.3,     1130.47, 80.7,  2999.64, 26.6
1597,    785, 15.4,      959.95, 84.6,  3505.75, 19.2
1598,    796, 14.8,      970.68, 85.2,  3575.66, 20.1
1599,    749, 13.8,      956.68, 86.2,  3762.23, 20.7
1600,    760, 14.1,      936.85, 85.9,  3701.28, 20.5
1601,    734, 12.1,      937.09, 87.9,  3769.38, 21.5
1602,   1107, 21.7,     1198.36, 78.3,  2908.83, 27.3
1603,    777, 13.6,      952.48, 86.4,  3650.17, 19.9
1604,    824, 16.7,      966.95, 83.3,  3626.10, 19.2
1605,   1016, 18.5,     1118.58, 81.5,  3107.13, 25.6
1606,    761, 15.0,      952.72, 85.0,  3713.82, 20.4
1607,    872, 18.5,     1010.34, 81.5,  3580.51, 21.2
1608,    815, 15.5,      979.78, 84.5,  3536.17, 20.2
1609,    762, 15.4,      948.75, 84.6,  3591.53, 19.7
1610,    835, 16.5,      997.27, 83.5,  3450.42, 18.6
1611,    877, 17.9,     1032.96, 82.1,  3407.60, 19.8
1612,    774, 14.0,      955.28, 86.0,  3499.45, 19.8
1613,    804, 16.4,      982.58, 83.6,  3520.37, 18.8
1614,   1101, 22.7,     1210.96, 77.3,  2965.05, 13.4
1615,    776, 14.7,      945.02, 85.3,  3632.23, 20.1
1616,    842, 15.3,      993.07, 84.7,  3593.43, 22.8
1617,    945, 19.7,     1065.16, 80.3,  3337.23, 21.5
1618,    951, 19.5,     1074.95, 80.5,  3307.57, 24.5
1619,    808, 15.7,      991.44, 84.3,  3460.42, 19.3
1620,    817, 16.3,      974.18, 83.7,  3632.68, 19.1
1621,    783, 14.9,      959.01, 85.1,  3613.45, 19.4
1622,    783, 12.0,      952.72, 88.0,  3591.56, 20.6
1623,   1053, 21.7,     1144.24, 78.3,  3079.34, 23.2
1624,    839, 18.1,      980.71, 81.9,  3527.70, 18.8
1625,    791, 13.4,      953.88, 86.6,  3559.07, 19.5
1626,    800, 16.2,      968.11, 83.8,  3555.22, 18.8
1627,    778, 12.6,      964.61, 87.4,  3502.97, 19.8
1628,    808, 16.5,      968.81, 83.5,  3559.32, 18.6
1629,    754, 12.9,      937.55, 87.1,  3630.24, 20.7
1630,    805, 14.7,      970.68, 85.3,  3592.21, 20.2
1631,    833, 16.3,      989.34, 83.7,  3633.59, 21.1
1632,    835, 14.9,      981.64, 85.1,  3557.99, 19.3
1633,    795, 13.1,      957.38, 86.9,  3589.25, 21.0
1634,    931, 17.0,     1061.66, 83.0,  3352.68, 22.0
1635,    852, 14.8,     1002.17, 85.2,  3520.00, 19.4
1636,    780, 11.5,      955.28, 88.5,  3667.15, 20.9
1637,    914, 17.5,     1075.89, 82.5,  3494.94, 17.3
1638,    971, 19.2,     1067.02, 80.8,  3494.69, 16.4
1639,    808, 15.0,      958.55, 85.0,  3546.05, 19.6
1640,    815, 15.0,      977.44, 85.0,  3602.35, 19.4
1641,    802, 13.1,      954.82, 86.9,  3649.77, 19.3
1642,    831, 13.8,      992.37, 86.2,  3526.38, 22.0
1643,    779, 15.1,      942.22, 84.9,  3639.26, 19.9
1644,    822, 13.1,      984.44, 86.9,  3427.44, 19.3
1645,   1025, 19.1,     1131.64, 80.9,  3239.20, 15.4
1646,    840, 14.8,     1001.94, 85.2,  3480.50, 19.3
1647,    913, 19.2,     1036.23, 80.8,  3427.60, 19.2
1648,   1013, 20.1,     1127.68, 79.9,  3231.18, 25.4
1649,    930, 19.4,     1062.82, 80.6,  3511.22, 17.0
1650,    798, 15.0,      960.41, 85.0,  3638.77, 19.3
1651,   1031, 20.6,     1139.11, 79.4,  3364.58, 15.8
1652,    860, 16.3,      998.67, 83.7,  3528.63, 20.1
1653,    886, 16.4,     1023.87, 83.6,  3528.01, 21.3
1654,    816, 15.8,      983.04, 84.2,  3546.77, 19.4
1655,    830, 15.5,      985.14, 84.5,  3612.07, 18.9
1656,    854, 17.3,     1011.97, 82.7,  3430.48, 21.0
1657,    855, 15.4,     1013.14, 84.6,  3590.76, 22.1
1658,    810, 15.2,      972.54, 84.8,  3574.99, 19.1
1659,    830, 16.6,      993.77, 83.4,  3497.75, 19.3
1660,    870, 17.6,     1008.00, 82.4,  3550.51, 20.9
1661,    923, 17.1,     1039.03, 82.9,  3309.66, 21.3
1662,    917, 21.3,     1047.43, 78.7,  3445.21, 20.3
1663,    910, 18.4,     1051.63, 81.6,  3413.94, 23.0
1664,    799, 15.8,      975.58, 84.2,  3555.57, 18.8
1665,    801, 15.0,      978.14, 85.0,  3572.56, 21.0
1666,    760, 14.9,      948.28, 85.1,  3639.98, 20.5
1667,    871, 17.9,     1031.10, 82.1,  3497.23, 21.9
1668,    790, 14.6,      954.82, 85.4,  3585.48, 19.4
1669,    871, 15.7,     1012.44, 84.3,  3593.38, 22.5
1670,    847, 16.4,      993.31, 83.6,  3544.61, 19.7
1671,    764, 15.6,      945.02, 84.4,  3784.96, 20.2
1672,    826, 17.3,      990.97, 82.7,  3542.06, 19.2
1673,    828, 15.1,      973.48, 84.9,  3600.73, 19.7
1674,    829, 15.2,      992.37, 84.8,  3472.06, 22.8
1675,    790, 15.1,      969.74, 84.9,  3584.31, 19.7
1676,    822, 17.2,      977.44, 82.8,  3647.85, 18.7
1677,    788, 15.1,      959.48, 84.9,  3666.74, 21.7
1678,    802, 15.1,      967.65, 84.9,  3589.51, 18.8
1679,    871, 16.4,     1034.36, 83.6,  3474.16, 18.0
1680,    852, 17.1,     1013.14, 82.9,  3422.08, 21.0
1681,    759, 13.6,      939.42, 86.4,  3699.27, 21.9
1682,    805, 14.4,      971.84, 85.6,  3537.42, 19.8
1683,    885, 15.0,     1029.70, 85.0,  3397.80, 22.7
1684,    960, 17.5,     1078.22, 82.5,  3291.06, 25.1
1685,    852, 17.6,      994.01, 82.4,  3698.79, 18.7
1686,    788, 13.7,      964.15, 86.3,  3645.92, 20.7
1687,   1088, 21.0,     1193.69, 79.0,  2862.28, 26.6
1688,    995, 22.9,     1082.42, 77.1,  3324.19, 20.6
1689,    815, 15.3,      991.91, 84.7,  3613.84, 19.9
1690,    808, 13.6,      968.35, 86.4,  3748.02, 21.0
1691,    827, 15.4,      966.95, 84.6,  3521.22, 19.0
1692,    786, 14.9,      956.68, 85.1,  3628.66, 20.1
1693,    869, 18.6,     1006.84, 81.4,  3438.15, 20.1
1694,    752, 13.8,      939.19, 86.2,  3707.33, 21.0
1695,    804, 15.5,      982.81, 84.5,  3592.75, 20.4
1696,    787, 13.1,      957.61, 86.9,  3598.97, 19.4
1697,    955, 18.4,     1063.06, 81.6,  3321.08, 24.4
1698,    778, 14.4,      963.68, 85.6,  3624.25, 21.0
1699,    806, 15.8,      957.85, 84.2,  3712.77, 19.6
1700,    818, 15.0,      967.41, 85.0,  3613.66, 18.8
1701,   1050, 21.9,     1171.53, 78.1,  3066.14, 14.3
1702,    854, 16.3,      986.77, 83.7,  3571.52, 18.5
1703,   1098, 22.1,     1202.56, 77.9,  2862.44, 26.1
1704,    776, 14.3,      961.11, 85.7,  3554.20, 20.1
1705,    856, 16.6,      992.84, 83.4,  3433.63, 18.7
1706,    755, 12.8,      934.99, 87.2,  3715.38, 21.7
1707,    871, 18.4,     1010.80, 81.6,  3452.68, 18.1
1708,    788, 15.7,      958.78, 84.3,  3541.26, 18.8
1709,    893, 17.9,     1039.73, 82.1,  3427.51, 23.7
1710,    839, 17.9,      990.51, 82.1,  3564.31, 18.8
1711,    789, 14.1,      960.18, 85.9,  3590.42, 19.8
1712,    834, 17.3,      973.24, 82.7,  3557.40, 20.3
1713,    998, 18.9,     1124.41, 81.1,  3198.42, 14.8
1714,    832, 16.2,      983.98, 83.8,  3554.54, 19.1
1715,    798, 14.2,      946.18, 85.8,  3637.45, 20.6
1716,    887, 16.7,     1035.30, 83.3,  3350.59, 22.5
1717,   1044, 20.6,     1151.00, 79.4,  3301.77, 15.3
1718,    778, 14.4,      940.12, 85.6,  3660.15, 20.6
1719,    787, 12.8,      965.55, 87.2,  3625.24, 24.1
1720,    843, 17.6,      990.97, 82.4,  3561.39, 19.1
1721,   1027, 22.8,     1114.61, 77.2,  3198.88, 22.8
1722,    838, 18.1,      990.27, 81.9,  3606.64, 19.5
1723,    913, 19.4,     1049.06, 80.6,  3370.06, 22.9
1724,   1140, 21.8,     1234.98, 78.2,  2879.31, 26.7
1725,    799, 14.9,      971.61, 85.1,  3589.80, 19.6
1726,    866, 17.4,     1011.50, 82.6,  3540.21, 18.2
1727,    833, 15.1,      976.98, 84.9,  3632.26, 19.1
1728,    808, 15.3,      980.71, 84.7,  3603.80, 20.5
1729,    793, 12.2,      956.21, 87.8,  3542.11, 20.8
1730,    904, 19.8,     1042.53, 80.2,  3545.49, 22.3
1731,    827, 14.1,     1001.94, 85.9,  3483.89, 21.2
1732,    830, 17.0,      972.54, 83.0,  3644.18, 19.9
1733,    822, 16.5,      971.84, 83.5,  3666.65, 20.0
1734,    841, 15.7,      993.54, 84.3,  3559.15, 21.5
1735,    862, 16.0,     1006.14, 84.0,  3431.75, 18.9
1736,    762, 13.8,      952.48, 86.2,  3692.90, 20.9
1737,    838, 17.1,      981.64, 82.9,  3710.37, 19.9
1738,   1043, 21.5,     1152.40, 78.5,  3117.58, 26.1
1739,    832, 14.2,      974.41, 85.8,  3589.15, 19.8
1740,    883, 15.5,     1036.70, 84.5,  3550.48, 23.2
1741,    962, 19.6,     1108.55, 80.4,  3171.89, 25.6
1742,    856, 15.2,     1015.00, 84.8,  3439.85, 20.7
1743,    792, 17.0,      967.88, 83.0,  3684.79, 19.7
1744,    820, 17.3,      963.68, 82.7,  3707.09, 20.1
1745,    832, 14.8,      994.24, 85.2,  3476.05, 20.7
1746,    886, 20.0,     1018.73, 80.0,  3420.10, 21.2
1747,    817, 14.4,      973.24, 85.6,  3544.61, 19.3
1748,    869, 15.5,     1019.67, 84.5,  3483.90, 22.6
1749,    785, 15.3,      958.31, 84.7,  3670.53, 21.1
1750,    786, 13.9,      941.28, 86.1,  3656.03, 20.0
1751,    988, 20.3,     1132.34, 79.7,  3079.02, 25.7
1752,    766, 14.8,      930.55, 85.2,  3643.83, 20.9
1753,    808, 14.7,      970.68, 85.3,  3507.97, 21.2
1754,    824, 17.8,      985.14, 82.2,  3640.96, 18.6
1755,    947, 20.0,     1073.55, 80.0,  3251.40, 22.8
1756,    788, 13.5,      958.31, 86.5,  3682.82, 20.3
1757,    821, 18.1,      987.71, 81.9,  3672.96, 19.2
1758,    790, 13.4,      952.25, 86.6,  3528.07, 20.5
1759,    876, 14.4,     1008.00, 85.6,  3353.90, 17.5
1760,    807, 15.5,      954.12, 84.5,  3669.08, 19.5
1761,    844, 14.9,      993.77, 85.1,  3560.66, 19.1
1762,   1045, 21.0,     1149.37, 79.0,  3115.79, 15.0
1763,    838, 16.1,      990.04, 83.9,  3566.31, 19.1
1764,    798, 16.2,      962.51, 83.8,  3639.50, 19.7
1765,    898, 19.2,     1025.03, 80.8,  3503.33, 20.8
1766,    808, 14.7,      980.48, 85.3,  3521.79, 19.4
1767,    776, 16.6,      962.98, 83.4,  3650.78, 20.9
1768,    853, 15.2,      987.94, 84.8,  3504.81, 17.9
1769,    884, 16.0,     1033.20, 84.0,  3432.07, 22.6
1770,    788, 14.8,      943.62, 85.2,  3517.70, 19.0
1771,    780, 14.0,      954.12, 86.0,  3597.14, 21.3
1772,    848, 16.3,      993.77, 83.7,  3610.97, 21.7
1773,    794, 14.4,      962.51, 85.6,  3691.46, 20.0
1774,    798, 15.8,      960.65, 84.2,  3698.87, 19.4
1775,   1108, 21.2,     1188.33, 78.8,  3018.68, 26.0
1776,   1094, 23.4,     1178.06, 76.6,  3025.43, 13.8
1777,    799, 15.4,      967.18, 84.6,  3519.36, 18.5
1778,    916, 18.2,     1033.66, 81.8,  3493.08, 17.1
1779,    820, 15.9,      984.67, 84.1,  3567.93, 22.0
1780,    815, 15.1,      979.08, 84.9,  3587.85, 20.2
1781,    949, 19.3,     1072.15, 80.7,  3290.42, 22.7
1782,    814, 12.9,      981.41, 87.1,  3499.38, 21.3
1783,    812, 17.2,      984.21, 82.8,  3558.95, 19.2
1784,    807, 15.0,      968.11, 85.0,  3612.74, 19.2
1785,    846, 17.4,     1004.50, 82.6,  3558.01, 19.9
1786,    810, 14.9,      971.38, 85.1,  3555.93, 21.0
1787,    824, 16.3,      977.68, 83.7,  3537.31, 20.8
1788,    826, 15.4,     1001.70, 84.6,  3525.89, 21.1
1789,    882, 16.7,     1018.50, 83.3,  3551.79, 20.6
1790,    794, 14.4,      965.55, 85.6,  3656.32, 20.7
1791,    839, 14.9,      981.18, 85.1,  3522.04, 19.2
1792,    861, 14.8,     1008.47, 85.2,  3424.87, 21.8
1793,    841, 14.9,      993.07, 85.1,  3609.85, 19.3
1794,    837, 16.5,      986.07, 83.5,  3466.06, 18.3
1795,    868, 18.1,     1025.27, 81.9,  3546.85, 17.6
1796,    824, 14.7,      993.31, 85.3,  3641.25, 20.1
1797,    799, 14.6,      958.78, 85.4,  3580.53, 19.6
1798,    838, 16.1,      989.81, 83.9,  3472.39, 20.4
1799,    825, 16.0,      973.24, 84.0,  3570.19, 19.5
1800,    793, 15.9,      970.44, 84.1,  3541.11, 19.9
1801,   1112, 21.1,     1202.09, 78.9,  2880.12, 27.3
1802,    866, 18.8,     1005.67, 81.2,  3526.67, 20.4
1803,    756, 16.0,      946.18, 84.0,  3695.97, 20.6
1804,    844, 13.5,     1004.97, 86.5,  3450.00, 21.4
1805,    796, 10.4,      972.54, 89.6,  3587.12, 20.6
1806,    836, 15.2,      978.61, 84.8,  3592.40, 20.5
1807,   1045, 20.2,     1159.17, 79.8,  2943.24, 25.9
1808,    809, 14.5,      977.91, 85.5,  3545.35, 22.0
1809,    812, 15.0,      994.01, 85.0,  3627.14, 21.3
1810,    800, 16.2,      966.01, 83.8,  3595.51, 19.4
1811,    821, 14.1,      979.54, 85.9,  3499.93, 20.1
1812,   1010, 20.0,     1118.11, 80.0,  3127.42, 24.8
1813,   1113, 22.9,     1203.49, 77.1,  3068.01, 13.3
1814,    834, 17.4,      989.34, 82.6,  3577.12, 20.3
1815,    817, 13.7,      974.18, 86.3,  3518.41, 20.0
1816,    783, 14.3,      968.35, 85.7,  3530.18, 20.3
1817,    883, 16.9,     1033.20, 83.1,  3396.63, 22.7
1818,    798, 15.2,      974.41, 84.8,  3590.77, 20.2
1819,    798, 13.8,      966.71, 86.2,  3656.86, 19.8
1820,    776, 15.1,      953.65, 84.9,  3606.87, 19.8
1821,    790, 12.9,      962.28, 87.1,  3579.03, 21.4
1822,    934, 19.5,     1070.06, 80.5,  3291.80, 23.6
1823,    829, 15.8,      987.94, 84.2,  3570.60, 20.7
1824,    774, 14.5,      958.31, 85.5,  3709.38, 20.4
1825,    784, 15.3,      955.98, 84.7,  3641.47, 20.3
1826,    827, 15.1,      998.21, 84.9,  3356.12, 22.0
1827,    871, 17.8,     1012.90, 82.2,  3479.71, 22.5
1828,    815, 14.4,      969.05, 85.6,  3684.93, 21.6
1829,    811, 13.7,      982.11, 86.3,  3637.99, 21.0
1830,    799, 14.8,      967.88, 85.2,  3500.63, 18.6
1831,   1094, 20.7,     1180.16, 79.3,  3040.29, 14.2
1832,    794, 13.6,      963.45, 86.4,  3707.06, 21.4
1833,   1108, 21.7,     1202.33, 78.3,  2882.69, 27.6
1834,    800, 15.9,      963.21, 84.1,  3658.15, 20.0
1835,    866, 17.4,     1008.70, 82.6,  3502.59, 20.0
1836,    866, 18.2,     1006.60, 81.8,  3601.55, 18.4
1837,    910, 19.6,     1052.56, 80.4,  3402.63, 22.1
1838,    841, 15.5,     1005.20, 84.5,  3516.21, 22.6
1839,    776, 12.9,      947.35, 87.1,  3705.49, 20.4
1840,   1078, 21.0,     1179.23, 79.0,  3157.49, 14.6
1841,    798, 15.9,      955.05, 84.1,  3559.39, 19.0
1842,   1126, 22.1,     1219.59, 77.9,  3065.60, 14.4
1843,    787, 12.6,      963.91, 87.4,  3550.05, 19.9
1844,    819, 17.1,      978.61, 82.9,  3660.55, 19.8
1845,    806, 14.8,      971.14, 85.2,  3588.13, 19.9
1846,    962, 18.6,     1078.22, 81.4,  3223.52, 23.7
1847,    785, 14.1,      962.05, 85.9,  3644.76, 21.3
1848,   1084, 22.4,     1186.00, 77.6,  3054.51, 13.7
1849,    778, 14.3,      950.85, 85.7,  3651.20, 19.9
1850,    810, 14.6,      976.28, 85.4,  3512.05, 20.4
1851,    781, 12.9,      951.55, 87.1,  3730.40, 22.4
1852,   1032, 21.0,     1146.80, 79.0,  3107.23, 25.2
1853,    782, 13.3,      969.28, 86.7,  3557.14, 19.6
1854,    866, 17.0,     1013.83, 83.0,  3420.66, 22.6
1855,    880, 17.7,     1040.20, 82.3,  3428.89, 24.0
1856,    858, 18.1,     1008.94, 81.9,  3536.09, 18.8
1857,    768, 12.8,      940.82, 87.2,  3585.24, 20.4
1858,    799, 14.9,      965.31, 85.1,  3592.28, 20.7
1859,    780, 15.8,      964.38, 84.2,  3709.40, 20.6
1860,    817, 16.5,      979.08, 83.5,  3507.55, 18.1
1861,    909, 15.4,     1037.40, 84.6,  3399.23, 21.8
1862,    852, 16.7,      997.51, 83.3,  3415.02, 18.3
1863,    813, 14.1,      977.68, 85.9,  3415.44, 18.8
1864,    911, 17.7,     1054.89, 82.3,  3421.22, 23.7
1865,   1051, 19.9,     1169.43, 80.1,  2978.35, 25.9
1866,    789, 14.8,      955.75, 85.2,  3715.04, 19.3
1867,    880, 15.9,     1028.76, 84.1,  3474.80, 23.4
1868,    828, 16.3,      983.04, 83.7,  3590.87, 20.8
1869,    811, 14.3,      988.41, 85.7,  3554.31, 20.8
1870,    831, 15.2,      985.37, 84.8,  3493.12, 18.8
1871,    838, 16.6,      989.81, 83.4,  3611.36, 20.2
1872,    950, 19.3,     1087.32, 80.7,  3303.48, 15.8
1873,    802, 16.7,      964.15, 83.3,  3701.89, 19.3
1874,    770, 13.4,      954.58, 86.6,  3693.05, 21.0
1875,    813, 17.1,      980.01, 82.9,  3632.58, 19.4
1876,    852, 16.7,     1001.94, 83.3,  3576.79, 21.9
1877,    784, 15.3,      958.31, 84.7,  3655.93, 21.0
1878,   1068, 20.5,     1158.70, 79.5,  3048.29, 26.4
1879,    990, 20.8,     1106.68, 79.2,  3268.64, 15.7
1880,    972, 17.1,     1080.55, 82.9,  3236.52, 16.8
1881,    879, 19.3,     1021.53, 80.7,  3514.97, 19.7
1882,    849, 16.5,      991.21, 83.5,  3424.24, 18.7
1883,    933, 18.8,     1062.82, 81.2,  3358.40, 21.9
1884,    869, 18.2,     1010.80, 81.8,  3562.32, 20.3
1885,   1065, 19.7,     1166.63, 80.3,  3026.78, 15.0
1886,    926, 20.3,     1047.66, 79.7,  3531.25, 19.9
1887,   1111, 22.1,     1201.39, 77.9,  2863.17, 26.4
1888,   1044, 20.3,     1158.00, 79.7,  2972.86, 26.1
1889,    881, 17.3,     1032.26, 82.7,  3455.58, 20.4
1890,    844, 15.6,      983.28, 84.4,  3515.24, 19.3
1891,    995, 20.9,     1107.85, 79.1,  3297.69, 16.4
1892,    866, 16.7,     1005.20, 83.3,  3567.49, 20.4
1893,    892, 17.4,     1038.10, 82.6,  3490.45, 17.3
1894,    979, 20.1,     1095.95, 79.9,  3384.85, 23.5
1895,   1049, 21.5,     1167.57, 78.5,  3032.03, 26.4
1896,    805, 14.9,      960.88, 85.1,  3658.56, 20.5
1897,    843, 15.2,      991.67, 84.8,  3528.96, 18.4
1898,    951, 19.1,     1065.16, 80.9,  3385.40, 23.7
1899,    830, 16.1,      966.71, 83.9,  3512.72, 20.6
1900,    813, 13.4,      970.68, 86.6,  3514.34, 20.0
1901,    839, 15.1,      997.74, 84.9,  3492.69, 19.7
1902,    841, 15.2,     1007.54, 84.8,  3535.14, 23.8
1903,    848, 16.9,      991.21, 83.1,  3519.92, 19.6
1904,    868, 17.5,     1018.27, 82.5,  3442.57, 20.9
1905,    828, 15.0,      976.74, 85.0,  3560.05, 19.2
1906,    778, 14.3,      960.88, 85.7,  3695.55, 20.3
1907,    809, 15.2,      978.61, 84.8,  3676.82, 20.5
1908,    848, 14.9,     1004.74, 85.1,  3557.22, 20.2
1909,    835, 16.4,     1000.07, 83.6,  3568.90, 21.0
1910,    790, 13.5,      967.41, 86.5,  3482.86, 19.7
1911,    799, 13.5,      965.08, 86.5,  3620.00, 19.5
1912,    848, 15.1,      999.14, 84.9,  3512.34, 19.8
1913,    817, 12.7,      976.74, 87.3,  3515.30, 20.0
1914,    819, 14.9,      967.88, 85.1,  3574.24, 18.8
1915,    843, 15.1,     1005.67, 84.9,  3557.63, 22.1
1916,    845, 15.5,      996.57, 84.5,  3446.62, 19.9
1917,    800, 14.6,      963.68, 85.4,  3716.67, 20.2
1918,    803, 15.4,      966.01, 84.6,  3545.77, 19.7
1919,    765, 13.9,      940.82, 86.1,  3774.50, 20.4
1920,    794, 14.6,      966.48, 85.4,  3660.91, 20.3
1921,    803, 15.4,      955.28, 84.6,  3551.92, 19.7
1922,    861, 17.8,     1002.87, 82.2,  3554.08, 21.4
1923,    862, 17.5,     1016.63, 82.5,  3426.90, 21.8
1924,    797, 13.8,      967.88, 86.2,  3576.47, 19.6
1925,    781, 13.6,      945.02, 86.4,  3596.87, 19.5
1926,    919, 18.0,     1060.26, 82.0,  3391.61, 21.9
1927,    805, 17.0,      962.75, 83.0,  3644.37, 20.4
1928,    934, 19.2,     1068.19, 80.8,  3413.02, 23.9
1929,    772, 12.6,      939.19, 87.4,  3581.91, 20.1
1930,    804, 14.4,      957.38, 85.6,  3512.73, 20.9
1931,    806, 15.0,      990.97, 85.0,  3611.06, 21.2
1932,    950, 20.1,     1081.02, 79.9,  3319.55, 23.9
1933,    809, 14.8,      963.91, 85.2,  3557.46, 20.0
1934,    794, 17.0,      960.18, 83.0,  3707.69, 20.4
1935,    825, 16.6,      984.44, 83.4,  3580.79, 21.5
1936,    878, 17.0,     1035.76, 83.0,  3414.41, 22.6
1937,    860, 18.5,      999.37, 81.5,  3440.74, 19.7
1938,    905, 16.7,     1043.23, 83.3,  3267.65, 23.8
1939,    785, 16.2,      965.55, 83.8,  3672.40, 19.6
1940,    832, 15.4,      990.04, 84.6,  3603.27, 21.3
1941,    790, 12.8,      959.25, 87.2,  3560.99, 19.9
1942,    909, 22.1,     1029.00, 77.9,  3500.87, 18.9
1943,    991, 18.2,     1118.58, 81.8,  3183.69, 24.8
1944,    808, 15.6,      970.91, 84.4,  3696.98, 20.2
1945,    797, 13.3,      977.44, 86.7,  3572.30, 20.6
1946,    824, 18.1,      980.24, 81.9,  3551.53, 19.3
1947,    915, 19.6,     1032.96, 80.4,  3525.65, 22.4
1948,    816, 16.1,      978.84, 83.9,  3538.79, 19.0
1949,    821, 16.8,      998.21, 83.2,  3466.97, 22.5
1950,    957, 19.7,     1091.28, 80.3,  3255.42, 23.1
1951,    848, 18.2,     1003.34, 81.8,  3441.76, 19.8
1952,    832, 15.4,      985.14, 84.6,  3524.23, 19.4
1953,    828, 17.1,      997.97, 82.9,  3456.01, 18.5
1954,    854, 17.4,     1022.47, 82.6,  3553.53, 23.1
1955,    901, 15.9,     1038.80, 84.1,  3417.18, 20.5
1956,    800, 12.5,      961.58, 87.5,  3503.60, 19.9
1957,    811, 14.9,      983.28, 85.1,  3551.00, 20.1
1958,    794, 16.4,      966.25, 83.6,  3599.38, 20.3
1959,    782, 13.3,      952.48, 86.7,  3669.44, 20.6
1960,    784, 14.5,      958.78, 85.5,  3512.49, 20.2
1961,    874, 15.7,     1019.67, 84.3,  3485.83, 23.6
1962,    873, 18.1,      996.57, 81.9,  3656.45, 18.8
1963,    807, 14.1,      957.85, 85.9,  3544.62, 20.1
1964,    812, 15.1,      961.11, 84.9,  3534.62, 19.2
1965,    814, 14.3,      967.41, 85.7,  3612.37, 19.0
1966,    801, 13.4,      971.84, 86.6,  3565.03, 19.9
1967,    869, 18.5,     1018.27, 81.5,  3583.98, 21.7
1968,    870, 18.0,     1017.80, 82.0,  3560.90, 19.5
1969,   1119, 23.0,     1210.26, 77.0,  3092.11, 14.2
1970,    874, 18.5,     1006.84, 81.5,  3494.06, 18.2
1971,    830, 16.6,      993.07, 83.4,  3534.36, 18.9
1972,    808, 15.3,      987.01, 84.7,  3443.05, 20.3
1973,    877, 17.6,     1042.76, 82.4,  3388.82, 22.7
1974,    801, 13.6,      956.45, 86.4,  3609.84, 19.5
1975,   1107, 22.9,     1201.63, 77.1,  2931.68, 25.5
